数据ID,用户ID,商品ID,评论时间戳,评论标题,评论内容,评分
TRAIN_20,1886,PRODUCT_424,1352217600,好评！推荐购买,操作简单，容易上手。 购买后使用了22天，整体感觉,5
TRAIN_21,3922,PRODUCT_490,1331049600,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了1天，整体感觉,4
TRAIN_22,1996,PRODUCT_44,1316361600,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了5天，整体感觉,4
TRAIN_23,4199,PRODUCT_40,1395072000,差评，需要改进,价格偏高，性价比不高。 购买后使用了9天，整体感觉,2
TRAIN_24,1474,PRODUCT_529,1365523200,好评！推荐购买,颜色正，尺寸合适。 购买后使用了21天，整体感觉,4
TRAIN_25,152,PRODUCT_899,1343923200,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了15天，整体感觉,5
TRAIN_26,4968,PRODUCT_482,1379001600,中评，一般般,基本满足需求。 购买后使用了20天，整体感觉,3
TRAIN_27,1169,PRODUCT_813,1325952000,好评！推荐购买,续航能力强，很实用。 购买后使用了9天，整体感觉,4
TRAIN_28,1373,PRODUCT_741,1354377600,好评！推荐购买,颜色正，尺寸合适。 购买后使用了19天，整体感觉,5
TRAIN_29,563,PRODUCT_235,1360684800,好评！推荐购买,物流很快，包装完好。 购买后使用了1天，整体感觉,4
TRAIN_30,1657,PRODUCT_535,1382976000,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了20天，整体感觉,5
TRAIN_31,788,PRODUCT_181,1377964800,好评！推荐购买,颜色正，尺寸合适。 购买后使用了2天，整体感觉,5
TRAIN_32,4353,PRODUCT_515,1314547200,差评，需要改进,价格偏高，性价比不高。 购买后使用了29天，整体感觉,2
TRAIN_33,4943,PRODUCT_552,1293984000,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了17天，整体感觉,5
TRAIN_34,3446,PRODUCT_379,1301414400,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了8天，整体感觉,5
TRAIN_35,3949,PRODUCT_808,1361203200,好评！推荐购买,颜色正，尺寸合适。 购买后使用了4天，整体感觉,4
TRAIN_36,3485,PRODUCT_137,1338825600,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了30天，整体感觉,4
TRAIN_37,686,PRODUCT_290,1389974400,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了1天，整体感觉,4
TRAIN_38,58,PRODUCT_591,1386259200,差评，需要改进,质量一般，有点失望。 购买后使用了13天，整体感觉,2
TRAIN_39,1682,PRODUCT_704,1349625600,好评！推荐购买,物流很快，包装完好。 购买后使用了5天，整体感觉,4
TRAIN_40,3490,PRODUCT_667,1338652800,中评，一般般,普通使用没问题。 购买后使用了14天，整体感觉,3
TRAIN_41,4625,PRODUCT_374,1342540800,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了25天，整体感觉,5
TRAIN_42,1668,PRODUCT_423,1391443200,好评！推荐购买,操作简单，容易上手。 购买后使用了6天，整体感觉,5
TRAIN_43,3032,PRODUCT_572,1391961600,好评！推荐购买,正品保证，值得信赖。 购买后使用了19天，整体感觉,4
TRAIN_44,2820,PRODUCT_792,1364227200,好评！推荐购买,物流很快，包装完好。 购买后使用了24天，整体感觉,5
TRAIN_45,1882,PRODUCT_457,1322409600,差评，需要改进,续航能力差，需要改进。 购买后使用了13天，整体感觉,2
TRAIN_46,2772,PRODUCT_820,1391184000,好评！推荐购买,质量很好，非常满意！ 购买后使用了6天，整体感觉,4
TRAIN_47,3187,PRODUCT_987,1294675200,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了16天，整体感觉,5
TRAIN_48,4917,PRODUCT_445,1309363200,差评，需要改进,使用效果不如预期。 购买后使用了12天，整体感觉,2
TRAIN_49,655,PRODUCT_623,1300464000,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了20天，整体感觉,5
TRAIN_50,4268,PRODUCT_293,1303920000,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了21天，整体感觉,5
TRAIN_51,4049,PRODUCT_449,1295625600,中评，一般般,普通使用没问题。 购买后使用了10天，整体感觉,3
TRAIN_52,1595,PRODUCT_34,1384099200,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了20天，整体感觉,4
TRAIN_53,1388,PRODUCT_690,1300118400,好评！推荐购买,质量很好，非常满意！ 购买后使用了6天，整体感觉,4
TRAIN_54,711,PRODUCT_282,1364486400,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了13天，整体感觉,4
TRAIN_55,4801,PRODUCT_205,1385395200,差评，需要改进,物流太慢，等了很久。 购买后使用了30天，整体感觉,1
TRAIN_56,738,PRODUCT_562,1344096000,好评！推荐购买,续航能力强，很实用。 购买后使用了30天，整体感觉,5
TRAIN_57,4775,PRODUCT_356,1355241600,好评！推荐购买,正品保证，值得信赖。 购买后使用了8天，整体感觉,5
TRAIN_58,4967,PRODUCT_986,1328198400,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了19天，整体感觉,4
TRAIN_59,38,PRODUCT_267,1324742400,好评！推荐购买,物流很快，包装完好。 购买后使用了18天，整体感觉,4
TRAIN_60,592,PRODUCT_515,1345824000,中评，一般般,一般般，没什么特别。 购买后使用了26天，整体感觉,3
TRAIN_61,4204,PRODUCT_979,1339344000,好评！推荐购买,颜色正，尺寸合适。 购买后使用了9天，整体感觉,5
TRAIN_62,3627,PRODUCT_989,1360512000,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了25天，整体感觉,4
TRAIN_63,2782,PRODUCT_984,1374940800,好评！推荐购买,颜色正，尺寸合适。 购买后使用了28天，整体感觉,5
TRAIN_64,224,PRODUCT_493,1314374400,中评，一般般,基本满足需求。 购买后使用了21天，整体感觉,3
TRAIN_65,1805,PRODUCT_693,1334419200,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了12天，整体感觉,5
TRAIN_66,4231,PRODUCT_548,1295452800,好评！推荐购买,正品保证，值得信赖。 购买后使用了8天，整体感觉,5
TRAIN_67,2353,PRODUCT_95,1364400000,好评！推荐购买,客服态度很好，解决问题及时。 购买后使用了3天，整体感觉,5
TRAIN_68,4542,PRODUCT_953,1325347200,好评！推荐购买,客服态度很好，解决问题及时。 购买后使用了7天，整体感觉,4
TRAIN_69,4699,PRODUCT_275,1326124800,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了16天，整体感觉,5
TRAIN_70,1635,PRODUCT_240,1336579200,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了8天，整体感觉,5
TRAIN_71,1661,PRODUCT_854,1337961600,好评！推荐购买,客服态度很好，解决问题及时。 购买后使用了5天，整体感觉,5
TRAIN_72,873,PRODUCT_122,1307635200,好评！推荐购买,操作简单，容易上手。 购买后使用了20天，整体感觉,5
TRAIN_73,54,PRODUCT_782,1389542400,好评！推荐购买,操作简单，容易上手。 购买后使用了12天，整体感觉,5
TRAIN_74,2583,PRODUCT_504,1395417600,好评！推荐购买,操作简单，容易上手。 购买后使用了6天，整体感觉,5
TRAIN_75,4187,PRODUCT_286,1364140800,中评，一般般,还算满意吧。 购买后使用了5天，整体感觉,3
TRAIN_76,443,PRODUCT_538,1368633600,好评！推荐购买,续航能力强，很实用。 购买后使用了2天，整体感觉,4
TRAIN_77,4116,PRODUCT_355,1363449600,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了15天，整体感觉,5
TRAIN_78,986,PRODUCT_715,1385481600,好评！推荐购买,质量很好，非常满意！ 购买后使用了1天，整体感觉,4
TRAIN_79,1726,PRODUCT_388,1311609600,中评，一般般,还算满意吧。 购买后使用了28天，整体感觉,3
TRAIN_80,2127,PRODUCT_191,1390838400,中评，一般般,没什么特别感觉。 购买后使用了16天，整体感觉,3
TRAIN_81,2810,PRODUCT_374,1326297600,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了14天，整体感觉,4
TRAIN_82,3049,PRODUCT_373,1364659200,中评，一般般,符合预期，没什么惊喜。 购买后使用了19天，整体感觉,3
TRAIN_83,1074,PRODUCT_589,1334246400,好评！推荐购买,正品保证，值得信赖。 购买后使用了26天，整体感觉,5
TRAIN_84,1931,PRODUCT_568,1370275200,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了5天，整体感觉,5
TRAIN_85,1225,PRODUCT_484,1295452800,中评，一般般,没什么大问题。 购买后使用了5天，整体感觉,3
TRAIN_86,4235,PRODUCT_546,1349625600,好评！推荐购买,正品保证，值得信赖。 购买后使用了9天，整体感觉,5
TRAIN_87,4605,PRODUCT_879,1394208000,差评，需要改进,物流太慢，等了很久。 购买后使用了23天，整体感觉,1
TRAIN_88,1338,PRODUCT_61,1331913600,好评！推荐购买,操作简单，容易上手。 购买后使用了27天，整体感觉,5
TRAIN_89,788,PRODUCT_460,1352995200,中评，一般般,就是普通的产品。 购买后使用了18天，整体感觉,3
TRAIN_90,4566,PRODUCT_954,1339344000,中评，一般般,基本满足需求。 购买后使用了4天，整体感觉,3
TRAIN_91,2876,PRODUCT_888,1328976000,好评！推荐购买,续航能力强，很实用。 购买后使用了6天，整体感觉,4
TRAIN_92,2331,PRODUCT_363,1351267200,好评！推荐购买,操作简单，容易上手。 购买后使用了25天，整体感觉,5
TRAIN_93,3661,PRODUCT_910,1307635200,好评！推荐购买,正品保证，值得信赖。 购买后使用了15天，整体感觉,4
TRAIN_94,1186,PRODUCT_889,1323446400,好评！推荐购买,客服态度很好，解决问题及时。 购买后使用了14天，整体感觉,4
TRAIN_95,4682,PRODUCT_414,1306425600,差评，需要改进,客服回应慢，解决问题效率低。 购买后使用了8天，整体感觉,2
TRAIN_96,2568,PRODUCT_324,1345305600,好评！推荐购买,颜色正，尺寸合适。 购买后使用了21天，整体感觉,5
TRAIN_97,3239,PRODUCT_277,1372521600,好评！推荐购买,客服态度很好，解决问题及时。 购买后使用了24天，整体感觉,5
TRAIN_98,4808,PRODUCT_533,1373472000,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了28天，整体感觉,4
TRAIN_99,189,PRODUCT_128,1335283200,好评！推荐购买,物流很快，包装完好。 购买后使用了7天，整体感觉,5
TRAIN_100,1367,PRODUCT_406,1311955200,差评，需要改进,操作复杂，不容易上手。 购买后使用了18天，整体感觉,2
TRAIN_101,440,PRODUCT_26,1364054400,好评！推荐购买,物流很快，包装完好。 购买后使用了4天，整体感觉,4
TRAIN_102,2150,PRODUCT_632,1321286400,差评，需要改进,外观有瑕疵，不满意。 购买后使用了10天，整体感觉,2
TRAIN_103,1878,PRODUCT_253,1344009600,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了5天，整体感觉,4
TRAIN_104,4315,PRODUCT_858,1323964800,差评，需要改进,客服回应慢，解决问题效率低。 购买后使用了28天，整体感觉,1
TRAIN_105,2664,PRODUCT_884,1378051200,好评！推荐购买,续航能力强，很实用。 购买后使用了30天，整体感觉,4
TRAIN_106,2231,PRODUCT_561,1372521600,差评，需要改进,续航能力差，需要改进。 购买后使用了6天，整体感觉,2
TRAIN_107,4840,PRODUCT_611,1374595200,好评！推荐购买,颜色正，尺寸合适。 购买后使用了14天，整体感觉,4
TRAIN_108,4288,PRODUCT_655,1388246400,中评，一般般,就是普通的产品。 购买后使用了16天，整体感觉,3
TRAIN_109,4420,PRODUCT_232,1309622400,好评！推荐购买,客服态度很好，解决问题及时。 购买后使用了14天，整体感觉,4
TRAIN_110,2128,PRODUCT_159,1347465600,差评，需要改进,续航能力差，需要改进。 购买后使用了27天，整体感觉,1
TRAIN_111,1116,PRODUCT_352,1344528000,好评！推荐购买,质量很好，非常满意！ 购买后使用了23天，整体感觉,4
TRAIN_112,4029,PRODUCT_969,1378224000,中评，一般般,基本满足需求。 购买后使用了26天，整体感觉,3
TRAIN_113,2399,PRODUCT_611,1334678400,好评！推荐购买,续航能力强，很实用。 购买后使用了12天，整体感觉,5
TRAIN_114,1544,PRODUCT_421,1392998400,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了6天，整体感觉,4
TRAIN_115,3192,PRODUCT_848,1360684800,中评，一般般,一般般，没什么特别。 购买后使用了14天，整体感觉,3
TRAIN_116,1962,PRODUCT_529,1341849600,中评，一般般,普通使用没问题。 购买后使用了26天，整体感觉,3
TRAIN_117,2202,PRODUCT_422,1327075200,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了5天，整体感觉,5
TRAIN_118,2372,PRODUCT_113,1374336000,好评！推荐购买,正品保证，值得信赖。 购买后使用了23天，整体感觉,4
TRAIN_119,4030,PRODUCT_192,1350489600,差评，需要改进,质量一般，有点失望。 购买后使用了18天，整体感觉,1
TRAIN_120,181,PRODUCT_190,1311868800,中评，一般般,符合预期，没什么惊喜。 购买后使用了23天，整体感觉,3
TRAIN_121,3591,PRODUCT_744,1295193600,中评，一般般,符合预期，没什么惊喜。 购买后使用了1天，整体感觉,3
TRAIN_122,4043,PRODUCT_222,1354291200,好评！推荐购买,操作简单，容易上手。 购买后使用了12天，整体感觉,4
TRAIN_123,3798,PRODUCT_713,1299340800,中评，一般般,符合预期，没什么惊喜。 购买后使用了2天，整体感觉,3
TRAIN_124,2183,PRODUCT_794,1363190400,差评，需要改进,操作复杂，不容易上手。 购买后使用了6天，整体感觉,2
TRAIN_125,1574,PRODUCT_917,1338048000,好评！推荐购买,质量很好，非常满意！ 购买后使用了4天，整体感觉,5
TRAIN_126,2039,PRODUCT_394,1372176000,中评，一般般,还可以，中规中矩。 购买后使用了7天，整体感觉,3
TRAIN_127,3775,PRODUCT_752,1310400000,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了16天，整体感觉,4
TRAIN_128,3187,PRODUCT_697,1349020800,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了21天，整体感觉,5
TRAIN_129,345,PRODUCT_762,1391011200,好评！推荐购买,正品保证，值得信赖。 购买后使用了16天，整体感觉,4
TRAIN_130,2447,PRODUCT_203,1357574400,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了4天，整体感觉,5
TRAIN_131,1933,PRODUCT_648,1370620800,中评，一般般,符合预期，没什么惊喜。 购买后使用了26天，整体感觉,3
TRAIN_132,2261,PRODUCT_598,1314979200,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了1天，整体感觉,4
TRAIN_133,344,PRODUCT_595,1377878400,好评！推荐购买,性价比很高，推荐购买！ 购买后使用了12天，整体感觉,5
TRAIN_134,733,PRODUCT_254,1321632000,好评！推荐购买,颜色正，尺寸合适。 购买后使用了11天，整体感觉,4
TRAIN_135,491,PRODUCT_61,1356710400,好评！推荐购买,续航能力强，很实用。 购买后使用了26天，整体感觉,4
TRAIN_136,879,PRODUCT_128,1380124800,中评，一般般,普通使用没问题。 购买后使用了26天，整体感觉,3
TRAIN_137,2845,PRODUCT_824,1371398400,好评！推荐购买,质量很好，非常满意！ 购买后使用了23天，整体感觉,5
TRAIN_138,3094,PRODUCT_366,1317571200,中评，一般般,还可以，中规中矩。 购买后使用了16天，整体感觉,3
TRAIN_139,3584,PRODUCT_572,1345910400,好评！推荐购买,操作简单，容易上手。 购买后使用了7天，整体感觉,4
TRAIN_140,4642,PRODUCT_191,1389974400,中评，一般般,没什么大问题。 购买后使用了9天，整体感觉,3
TRAIN_141,4904,PRODUCT_936,1391875200,中评，一般般,普通使用没问题。 购买后使用了5天，整体感觉,3
TRAIN_142,3681,PRODUCT_302,1340380800,好评！推荐购买,操作简单，容易上手。 购买后使用了1天，整体感觉,4
TRAIN_143,4144,PRODUCT_388,1326556800,好评！推荐购买,颜色正，尺寸合适。 购买后使用了28天，整体感觉,5
TRAIN_144,2982,PRODUCT_794,1336060800,中评，一般般,一般般，没什么特别。 购买后使用了22天，整体感觉,3
TRAIN_145,4415,PRODUCT_838,1362326400,中评，一般般,没什么大问题。 购买后使用了25天，整体感觉,3
TRAIN_146,4517,PRODUCT_157,1343836800,中评，一般般,就是普通的产品。 购买后使用了4天，整体感觉,3
TRAIN_147,788,PRODUCT_535,1305561600,差评，需要改进,价格偏高，性价比不高。 购买后使用了6天，整体感觉,1
TRAIN_148,256,PRODUCT_206,1312732800,好评！推荐购买,物流很快，包装完好。 购买后使用了2天，整体感觉,4
TRAIN_149,4677,PRODUCT_657,1362499200,好评！推荐购买,续航能力强，很实用。 购买后使用了20天，整体感觉,5
TRAIN_150,4835,PRODUCT_262,1302451200,好评！推荐购买,颜色正，尺寸合适。 购买后使用了23天，整体感觉,4
TRAIN_151,580,PRODUCT_13,1330704000,好评！推荐购买,物流很快，包装完好。 购买后使用了15天，整体感觉,5
TRAIN_152,497,PRODUCT_369,1392480000,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了27天，整体感觉,5
TRAIN_153,3023,PRODUCT_813,1304092800,好评！推荐购买,正品保证，值得信赖。 购买后使用了17天，整体感觉,5
TRAIN_154,333,PRODUCT_751,1306252800,好评！推荐购买,物流很快，包装完好。 购买后使用了7天，整体感觉,5
TRAIN_155,4255,PRODUCT_99,1311696000,好评！推荐购买,续航能力强，很实用。 购买后使用了13天，整体感觉,5
TRAIN_156,1552,PRODUCT_197,1386864000,好评！推荐购买,颜色正，尺寸合适。 购买后使用了21天，整体感觉,5
TRAIN_157,1465,PRODUCT_571,1392566400,好评！推荐购买,物流很快，包装完好。 购买后使用了25天，整体感觉,4
TRAIN_158,4723,PRODUCT_366,1374940800,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了29天，整体感觉,5
TRAIN_159,852,PRODUCT_170,1325692800,好评！推荐购买,续航能力强，很实用。 购买后使用了11天，整体感觉,4
TRAIN_160,1295,PRODUCT_546,1372176000,好评！推荐购买,客服态度很好，解决问题及时。 购买后使用了18天，整体感觉,5
TRAIN_161,2659,PRODUCT_865,1359561600,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了27天，整体感觉,4
TRAIN_162,2649,PRODUCT_623,1336320000,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了13天，整体感觉,4
TRAIN_163,4507,PRODUCT_948,1338739200,好评！推荐购买,操作简单，容易上手。 购买后使用了15天，整体感觉,4
TRAIN_164,3252,PRODUCT_0,1299859200,好评！推荐购买,颜色正，尺寸合适。 购买后使用了1天，整体感觉,5
TRAIN_165,4240,PRODUCT_138,1347206400,差评，需要改进,使用效果不如预期。 购买后使用了7天，整体感觉,1
TRAIN_166,2579,PRODUCT_22,1342627200,好评！推荐购买,续航能力强，很实用。 购买后使用了18天，整体感觉,5
TRAIN_167,4674,PRODUCT_948,1394899200,中评，一般般,还可以，中规中矩。 购买后使用了15天，整体感觉,3
TRAIN_168,2913,PRODUCT_159,1318262400,中评，一般般,还算满意吧。 购买后使用了8天，整体感觉,3
TRAIN_169,1908,PRODUCT_262,1346947200,差评，需要改进,外观有瑕疵，不满意。 购买后使用了19天，整体感觉,2
TRAIN_170,1781,PRODUCT_751,1307462400,好评！推荐购买,操作简单，容易上手。 购买后使用了6天，整体感觉,5
TRAIN_171,3999,PRODUCT_845,1395763200,好评！推荐购买,物流很快，包装完好。 购买后使用了20天，整体感觉,5
TRAIN_172,2460,PRODUCT_38,1395763200,好评！推荐购买,质量很好，非常满意！ 购买后使用了30天，整体感觉,4
TRAIN_173,2739,PRODUCT_356,1370620800,好评！推荐购买,物流很快，包装完好。 购买后使用了28天，整体感觉,4
TRAIN_174,1857,PRODUCT_765,1295798400,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了2天，整体感觉,4
TRAIN_175,2496,PRODUCT_536,1301068800,中评，一般般,还算满意吧。 购买后使用了5天，整体感觉,3
TRAIN_176,2677,PRODUCT_514,1332864000,中评，一般般,基本满足需求。 购买后使用了15天，整体感觉,3
TRAIN_177,4875,PRODUCT_589,1383062400,差评，需要改进,外观有瑕疵，不满意。 购买后使用了10天，整体感觉,2
TRAIN_178,3230,PRODUCT_151,1317139200,中评，一般般,没什么大问题。 购买后使用了19天，整体感觉,3
TRAIN_179,403,PRODUCT_561,1364400000,中评，一般般,基本满足需求。 购买后使用了17天，整体感觉,3
TRAIN_180,3559,PRODUCT_792,1316880000,好评！推荐购买,操作简单，容易上手。 购买后使用了18天，整体感觉,5
TRAIN_181,1622,PRODUCT_499,1363708800,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了18天，整体感觉,5
TRAIN_182,4294,PRODUCT_252,1336665600,差评，需要改进,外观有瑕疵，不满意。 购买后使用了11天，整体感觉,2
TRAIN_183,4718,PRODUCT_91,1313683200,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了12天，整体感觉,5
TRAIN_184,2853,PRODUCT_195,1350489600,中评，一般般,还可以，中规中矩。 购买后使用了25天，整体感觉,3
TRAIN_185,2497,PRODUCT_173,1355673600,好评！推荐购买,操作简单，容易上手。 购买后使用了20天，整体感觉,4
TRAIN_186,1194,PRODUCT_451,1301673600,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了7天，整体感觉,5
TRAIN_187,3062,PRODUCT_159,1308931200,差评，需要改进,质量一般，有点失望。 购买后使用了8天，整体感觉,2
TRAIN_188,1209,PRODUCT_889,1344700800,差评，需要改进,物流太慢，等了很久。 购买后使用了10天，整体感觉,1
TRAIN_189,3686,PRODUCT_482,1297785600,中评，一般般,普通使用没问题。 购买后使用了7天，整体感觉,3
TRAIN_190,1669,PRODUCT_559,1386345600,好评！推荐购买,续航能力强，很实用。 购买后使用了16天，整体感觉,5
TRAIN_191,1157,PRODUCT_711,1297008000,好评！推荐购买,续航能力强，很实用。 购买后使用了2天，整体感觉,4
TRAIN_192,2092,PRODUCT_174,1304438400,中评，一般般,还算满意吧。 购买后使用了9天，整体感觉,3
TRAIN_193,434,PRODUCT_476,1295280000,差评，需要改进,疑似假货，需要验证。 购买后使用了22天，整体感觉,2
TRAIN_194,2950,PRODUCT_885,1312819200,差评，需要改进,外观有瑕疵，不满意。 购买后使用了8天，整体感觉,1
TRAIN_195,3118,PRODUCT_520,1311350400,好评！推荐购买,操作简单，容易上手。 购买后使用了28天，整体感觉,5
TRAIN_196,4891,PRODUCT_544,1309363200,中评，一般般,普通使用没问题。 购买后使用了15天，整体感觉,3
TRAIN_197,4593,PRODUCT_948,1297612800,差评，需要改进,续航能力差，需要改进。 购买后使用了10天，整体感觉,1
TRAIN_198,2732,PRODUCT_501,1363363200,好评！推荐购买,质量很好，非常满意！ 购买后使用了12天，整体感觉,5
TRAIN_199,2882,PRODUCT_363,1347292800,中评，一般般,普通使用没问题。 购买后使用了9天，整体感觉,3
TRAIN_200,507,PRODUCT_640,1339344000,好评！推荐购买,质量很好，非常满意！ 购买后使用了18天，整体感觉,5
TRAIN_201,2295,PRODUCT_230,1320595200,中评，一般般,基本满足需求。 购买后使用了22天，整体感觉,3
TRAIN_202,1124,PRODUCT_89,1361376000,好评！推荐购买,颜色正，尺寸合适。 购买后使用了28天，整体感觉,4
TRAIN_203,1863,PRODUCT_427,1336320000,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了10天，整体感觉,4
TRAIN_204,4959,PRODUCT_337,1373212800,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了21天，整体感觉,4
TRAIN_205,1135,PRODUCT_594,1389542400,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了28天，整体感觉,5
TRAIN_206,1131,PRODUCT_316,1386432000,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了30天，整体感觉,5
TRAIN_207,1189,PRODUCT_671,1393689600,好评！推荐购买,客服态度很好，解决问题及时。 购买后使用了3天，整体感觉,5
TRAIN_208,4565,PRODUCT_545,1314720000,中评，一般般,符合预期，没什么惊喜。 购买后使用了24天，整体感觉,3
TRAIN_209,241,PRODUCT_783,1350144000,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了14天，整体感觉,5
TRAIN_210,2485,PRODUCT_453,1342195200,中评，一般般,正常水平，可以接受。 购买后使用了4天，整体感觉,3
TRAIN_211,1077,PRODUCT_189,1298390400,好评！推荐购买,颜色正，尺寸合适。 购买后使用了20天，整体感觉,5
TRAIN_212,2186,PRODUCT_620,1394121600,好评！推荐购买,颜色正，尺寸合适。 购买后使用了8天，整体感觉,4
TRAIN_213,1891,PRODUCT_703,1298390400,好评！推荐购买,操作简单，容易上手。 购买后使用了5天，整体感觉,4
TRAIN_214,4115,PRODUCT_866,1376755200,好评！推荐购买,客服态度很好，解决问题及时。 购买后使用了6天，整体感觉,5
TRAIN_215,3174,PRODUCT_503,1377619200,差评，需要改进,使用效果不如预期。 购买后使用了8天，整体感觉,2
TRAIN_216,264,PRODUCT_418,1296403200,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了8天，整体感觉,5
TRAIN_217,1661,PRODUCT_775,1329926400,差评，需要改进,操作复杂，不容易上手。 购买后使用了28天，整体感觉,2
TRAIN_218,4013,PRODUCT_704,1351267200,好评！推荐购买,使用效果很棒，物超所值。 购买后使用了14天，整体感觉,5
TRAIN_219,3316,PRODUCT_794,1301155200,好评！推荐购买,外观漂亮，功能齐全。 购买后使用了24天，整体感觉,4
TRAIN_220,2563,PRODUCT_403,1394985600,好评！推荐购买,续航能力强，很实用。 购买后使用了21天，整体感觉,4
TRAIN_221,315,PRODUCT_533,1313078400,好评！推荐购买,质量很好，非常满意！ 购买后使用了29天，整体感觉,4
TRAIN_222,2012,PRODUCT_531,1388937600,好评！推荐购买,质量很好，非常满意！ 购买后使用了18天，整体感觉,4
